类别,名称,经度,纬度,地址,类型,省,市,区县
商超,海尔电器(商场东街店),118.068321,36.800018,东二路19号附近,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,鑫鑫窗帘(商场西街店),118.044268,36.804643,商场西街32甲1(大红门对面),购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,云峰茗茶(商场西街店),118.038528,36.805017,商场西街62号甲65号,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,小巴士电动车(东源商场店),118.055747,36.805996,共青团西路辅路与西二路交叉口东20米,购物服务;专卖店;自行车专卖店|生活服务;维修站点;维修站点,山东省,淄博市,张店区
商超,鲁中五金机电汽配城(通力家园店),118.014521,36.783633,傅家镇昌国路鲁中五金机电汽配城中区,购物服务;家居建材市场;建材五金市场|汽车服务;汽车配件销售;汽车配件销售,山东省,淄博市,张店区
商超,禧又(商场西街北十七巷店),118.028725,36.806375,共青团西路155号新东升·福园西区,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,金锣冷鲜肉专卖店(商场东街店),118.071442,36.799322,商场东街与东二路交叉口东200米,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,洪沟五金机电城,118.075571,36.785841,杏园东路66号甲7号,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,飞利浦空调(商场东街店),118.082874,36.798579,商场东路与宝沣路交叉口西160米,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,爱恒优选(商场西街店),118.046258,36.804043,和平家具城社区北门西90米,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,德银五金淄博总公司,118.072206,36.787541,洪沟西街与杏园东路交汇处东北角,购物服务;家居建材市场;建材五金市场|公司企业;公司企业;公司企业,山东省,淄博市,张店区
商超,晨光文具(商场东街店),118.064783,36.800436,淄建第三生活小区北门西50米,购物服务;文化用品店;文化用品店,山东省,淄博市,张店区
商超,鲁中五金机电汽配城-中区,118.014456,36.783787,复兴路与唐家山路交叉口西北300米,购物服务;家居建材市场;家居建材市场,山东省,淄博市,张店区
商超,蓝精灵童装(商场东街店),118.070589,36.799653,商场东街与东二路交叉口东120米,购物服务;专卖店;儿童用品店,山东省,淄博市,张店区
商超,木子尚·心动(商场西街北十七巷店),118.027703,36.80722,共青团西路155号新东升·福园西区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,黑骑士部落(商场西街北九巷店),118.043564,36.805963,共青团西路南八巷与商场西街北八巷交叉口西北60米,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,红豆居家(大商新玛特商场店),118.028625,36.837975,中润大道1号新玛特购物广场中润店F3层,购物服务;服装鞋帽皮具店;品牌服装店,山东省,淄博市,张店区
商超,步阳安全门(红星美凯龙淄博昌国商场店),118.033325,36.783075,南西五路与昌国路辅路交叉口南160米,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,菜大全生鲜果蔬超市(商场西街店),118.046007,36.8038,商场西街与共青团西路南六巷交叉口南40米,购物服务;综合市场;农副产品市场,山东省,淄博市,张店区
