类别,名称,经度,纬度,地址,类型,省,市,区县
医院,通济花园社区卫生服务站,118.026865,36.797581,和平街道和平路39-6号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博市张店区傅家镇卫生院,118.000376,36.761537,华福大道傅家镇政府斜对面,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区马尚街道学府花园社区卫生服务站,117.997322,36.799025,和平路19甲15号16号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区商品街卫生所,118.046171,36.804602,公园新村小学东南门旁,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区南定镇卫生院,118.045960,36.745646,张南路,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,瑞景苑美达花园社区卫生服务站,118.031217,36.831220,莲池村中心路美达花园,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,中润华侨城世纪路社区卫生服务站,118.027294,36.841908,世纪路中润华侨城,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区傅家镇小徐村卫生室,118.022719,36.768723,傅家镇世纪路南首,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,银泰城社区卫生服务站,118.036052,36.850396,名尚国际南门旁,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,体育场街道广场社区卫生服务站,118.067145,36.801805,东一路东二巷27号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博烟草金建工贸有限公司卫生所,118.084896,36.789511,洪沟路24号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区中医院发热门诊,118.050272,36.800860,新村西路28号张店区中医院,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博高新康宁医院,118.069590,36.857734,北营金鑫园(青银高速公路南),医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,北马庄卫生室,118.099654,36.849930,民祥路与宝山路交叉口西160米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区中医院煎药中心,118.050825,36.799425,龙韵大厦西门旁,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,张店区马尚镇龙泰苑社区卫生服务站,118.000838,36.833344,民泰·龙泰苑A区北门西220米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博高新区石桥中心医院,118.045962,36.886421,石桥镇北石村,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,颐丰花园社区卫生服务站,118.000528,36.840121,丰泰路颐丰花园,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,柳毅社区卫生服务站,118.083995,36.810659,和山苑13号楼2,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区沣水中心卫生院,118.091631,36.752094,汇沣路2号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,山东省手足外科医院(淄博分院),118.059496,36.793906,金晶大道8号,医疗保健服务;综合医院;三级甲等医院,山东省,淄博市,张店区
医院,张店区马尚镇冢子坡村卫生所,118.015304,36.811371,祥和路164号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,山东省中医药预防保健中心,118.058473,36.793695,淄博市中西医结合医院西门南50米,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,东南村卫生室,118.000527,36.800535,马尚东南村南苑东南门旁,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,城南社区卫生服务站,118.038066,36.790917,一区西路58号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,世纪花园夏溪园社区卫生服务站,118.022025,36.834625,世纪花园小区,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博张店铝城医院,118.047854,36.749114,南定镇南宿舍三街20号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区南定镇山铝西山社区卫生服务站,118.036777,36.752923,西山五街与矿机路交叉口东140米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,山东理工大学校医院,117.996788,36.813316,新村西路266号山东理工大学,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区曹营村卫生室,118.008808,36.871940,淄博市张店区纳奇路北50米,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,高新区中医医院,118.099910,36.821840,联通路与宝山路交叉口东200米,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,傅家镇石家村卫生室,118.016326,36.788745,昌国路72号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区沣水镇张三村卫生室,118.097148,36.764167,沣水镇张三村,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,百合花园社区卫生服务站,117.994157,36.847233,北京路77号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,齐盛实业公司卫生室,118.035323,36.789571,东华园1号楼,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区房镇镇璀璨珑府社区卫生服务站,117.983888,36.827522,文西街29号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区马尚街道金石苑社区卫生服务站,118.006624,36.819708,马尚镇人民西路金石苑小区,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区中医院,118.033325,36.812475,北西六路与十七中北街交叉口东北120米,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,张店区傅家镇泉山卫生室,118.017375,36.788650,鑫盛嘉园32号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,四宝山街道社区卫生服务中心,118.099801,36.821774,宝鑫路37号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博经开区沣水镇张一村卫生室,118.100688,36.769609,工业南路3号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,南家村卫生室,118.023225,36.786675,昌国路辅路与世纪路交叉口西北120米,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,山东冶金机械厂有限公司职工医院,118.036262,36.750231,南定镇新村路1号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区房镇镇解营村卫生室,118.003289,36.865487,三赢路49号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,南营社区卫生计生服务站,118.069448,36.848376,鲁泰大道南营双营园,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博张店稷下中医医院有限公司张店营南路诊所,118.004035,36.777542,南京路60号富康嘉苑综合办公楼1楼,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,新兴社区卫生室,118.015290,36.798150,[],医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,北大医疗淄博医院社区卫生服务中心,118.045382,36.747566,南定镇山铝南宿舍一街三巷5号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,刘西社区卫生计生服务站,118.023936,36.842539,阳光国际,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,紫云集社区卫生服务站,118.092442,36.785464,烟厂东路2号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,恒景绿洲社区卫生服务站,118.038933,36.854951,北西五路与兰雁大道交叉口北100米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,南岭新村卫生室,118.106386,36.865769,南岭新村北门旁,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区大张村卫生室,118.018690,36.848682,鲁泰大道大张村1#沿街房,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区傅家镇义集卫生室,117.988511,36.792387,王舍路260号甲23号,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区马尚街道齐悦国际社区卫生服务站,117.981807,36.811181,心环西路与齐悦街交叉口南140米,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,张店区南定镇翟家村卫生室,118.049686,36.774453,张南路89号南定镇,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区傅家镇浮山驿村卫生室,118.008296,36.761838,浮山驿东区西南门旁,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,街子村卫生室,118.102756,36.834049,高新区四宝山办事处街子村联防巡逻队附近,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
