类别,名称,经度,纬度,地址,类型,省,市,区县
公交站,第七医院(北门)(公交站),118.052491,36.827855,123路/K123路;126路/K126路;88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,小商品街(公交站),118.047440,36.803971,138路东线;138路西线;222路/K222路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,新村(公交站),118.066120,36.797143,150路/K150路;206路;5路;6路/K6路;82路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,城西新村(公交站),118.036998,36.806515,223路/K223路;7路/K7路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市中医医院骨科医院(公交站),118.054646,36.826020,251路/K251路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,齐赛科技(公交站),118.032953,36.811811,121路/K121路;126路/K126路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市中西医结合医院(公交站),118.058470,36.795307,108路/K108路;123路/K123路;126路/K126路;150路/K150路;159路/K159路;162路;2路/K2路;51路(东线);58路/K58路;6路/K6路;76路/K76路;89路/K89路;92路/K92路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,百盛集团(公交站),118.044635,36.823238,121路/K121路;126路/K126路;185路;88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,张店二中(公交站),118.071765,36.809546,105路/K105路;127路/K127路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,远景大厦(公交站),118.045742,36.828188,123路/K123路;126路/K126路;79路/K79路;88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,大润发超市(下客站)(公交站),118.041422,36.821142,181路/K181路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,义乌小商品城(公交站),118.020534,36.822689,(停运)191路;(停运)文昌湖景区旅游专线;136路/K136路;138路东线;138路西线;139路/K139路;151路(王府井-淄川)直达/K151路;158路/K158路;159路/K159路;168路/K168路;169路/K169路;177路;181路/K181路;185路;200路;257路/K257路;34路/K34路;42路;87路大站快线;88路/K88路内环;88路/K88路外环;90路/K90路北线;90路/K90路南线;92路/K92路;95路/K95路;97路/K97路;9路/K9路;三水源景区旅游专线;双溪山、潭溪山景区旅游专线;周村-义乌小商品城;定制公交赏花灯专线三;岜山中医药健康旅游示范基地、白石洞、原山景区旅游专线;开元溶洞旅游专线;开元溶洞景区旅游专线;玉黛赏花灯定制公交;王渔洋、在河之洲、高青天鹅湖景区旅游专线;红叶柿岩、如月湖景区旅游专线;齐文化博物馆、中国古车博物馆旅游专线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博火车站(公交站),118.054895,36.784912,126路/K126路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,金乔生活区(南门)(公交站),118.072318,36.813090,88路/K88路内环;88路/K88路外环;8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,张店一中(公交站),118.043263,36.796439,121路/K121路;95路/K95路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,火炬公园(公交站),118.055614,36.836523,102路/K102路;126路/K126路;156路/K156路;159路/K159路;162路;185路;200路;71路;71路(6点30分);接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,潘南路东二路口(公交站),118.069346,36.813731,88路/K88路内环;88路/K88路外环;8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,富尔玛家居广场(公交站),118.027741,36.814198,102路/K102路;105路/K105路;116路/K116路(北线);116路/K116路(南线);139路/K139路;160路/K160路;229路/K229路;257路/K257路;2路/K2路;90路/K90路北线;90路/K90路南线;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,新华医疗小区(公交站),118.044270,36.826457,121路/K121路;126路/K126路;185路;88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博牵引电机医院(公交站),118.078424,36.802669,135路/K135路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博(国贸大厦鲁中城市候机楼)(公交站),118.057092,36.835456,接站专线车;机场大巴淄博线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博五中(公交站),118.062813,36.792097,122路/K122路;123路/K123路;136路/K136路;206路;20路;222路/K222路;37路/K37路;5路;71路;71路(6点30分);7路/K7路;82路;8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市中心医院(王府井)(公交站),118.052948,36.806225,(停运)公交专线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,莲池小区(公交站),118.035413,36.828757,123路/K123路;137路/K137路;168路/K168路;169路/K169路;79路/K79路;90路/K90路北线;90路/K90路南线;定制公交赏花灯专线四;市中医医院健康专线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市府三宿舍(西门)(公交站),118.032323,36.825241,168路/K168路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,共青团路西六路口(公交站),118.029992,36.808287,157路/K157路;160路/K160路;88路/K88路内环;88路/K88路外环;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,共青团路(公交站),118.050461,36.806545,接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
